Total categories: 12
1. keyword=granola app吐槽, posts=20, comments=146
2. keyword=notebook 不好用, posts=20, comments=99
3. keyword=听直播帮忙转文字版或者记笔记的ai或者软件, posts=20, comments=144
4. keyword=对着 PPT 补笔记 崩溃, posts=17, comments=72
5. keyword=飞书妙记 整理太累, posts=20, comments=83
6. keyword=夸克 AI 听网课, posts=20, comments=142
7. keyword=期末周复习的好方法，你可以把老师上课的ppt、课本、你记的笔记等喂给豆💼, posts=20, comments=136
8. keyword=根据录音生成ppt笔记 大学生, posts=20, comments=146
9. keyword=音视频 双栏 笔记 软件, posts=20, comments=162
10. keyword=ai 公式推导 怎么记, posts=20, comments=114
11. keyword=ChatGPT gemini整理 课堂笔记, posts=20, comments=121
12. keyword=通义听悟 网课, posts=20, comments=136
